Recency,Frequency,Monetary,Interpurchase_Time
326,12,400.94,33
2,8,4473.220000000001,50
75,5,779.73,72
19,4,3347.9900000000002,142
310,1,301.90000000000003,0
375,1,295.68,0
36,10,1739.4900000000005,35
204,2,392.06,102
232,1,992.35,0
214,2,786.1600000000001,176
23,6,4445.96,66
33,3,13375.650000000001,118
2,5,2922.9100000000008,146
58,10,6705.200000000001,67
52,8,3490.8,75
287,4,481.24999999999994,98
3,11,4795.780000000001,66
110,2,544.3499999999999,66
8,4,1194.84,26
291,2,322.94,0
634,1,136.89,0
4,1,151.47,0
628,1,761.5,0
413,3,1446.21,76
51,7,3641.6,88
45,5,3431.88,120
72,3,1191.99,74
311,3,953.5999999999999,120
25,4,2556.82,140
11,2,384.46000000000004,43
390,2,293.0,14
315,4,3148.5699999999997,68
130,2,5066.55,216
82,4,1522.4700000000003,113
22,11,6746.75,58
5,5,1496.0100000000002,23
185,5,1586.42,33
29,2,428.82000000000005,46
379,1,1707.85,0
338,2,282.12,14
415,1,125.03999999999999,0
16,8,3754.1000000000004,70
403,3,1339.18,84
80,1,492.79,0
22,6,2290.5299999999997,106
591,1,226.95000000000002,0
72,6,2291.6999999999994,59
64,2,690.31,76
19,15,3943.9,38
674,1,921.08,0
36,2,2138.09,49
46,1,1460.8299999999997,0
119,7,1652.7300000000002,75
414,1,205.25,0
303,1,62.85,0
323,6,1191.6500000000003,57
50,2,597.56,235
682,1,7.5,0
149,1,1384.8000000000002,0
22,5,5538.280000000001,135
50,5,1395.5699999999997,42
33,8,3536.4699999999993,58
79,7,13676.189999999999,69
309,3,782.61,64
410,1,330.40000000000003,0
75,6,2393.8400000000006,77
67,4,862.1500000000001,83
217,6,531.84,41
24,28,45040.06,17
657,1,202.56,0
3,20,5696.53,36
113,4,1963.57,129
386,2,379.31000000000006,13
64,1,536.5699999999999,0
16,6,910.8100000000001,81
96,17,3010.88,36
1,10,2421.84,46
163,4,2658.1699999999996,96
78,2,1637.4699999999998,185
195,2,1247.26,234
22,3,678.7899999999998,116
26,9,6265.96,28
9,8,5081.54,67
43,1,206.1,0
36,27,8426.92,24
43,5,3492.21,25
1,10,13760.01,47
85,3,1081.98,98
80,6,7660.959999999999,109
100,1,444.01000000000005,0
2,39,10920.0,18
14,2,2458.09,62
683,2,1123.28,21
462,2,747.4,127
367,1,163.05,0
3,1,151.56,0
732,1,352.86,0
21,5,3695.0600000000004,29
22,2,393.98,199
58,1,921.86,0
243,1,447.28999999999996,0
44,1,328.95000000000005,0
22,6,3994.9500000000003,69
156,5,654.25,63
11,8,11116.58,64
17,2,362.67,0
134,1,707.0899999999999,0
56,5,3450.28,72
73,10,4639.7699999999995,64
44,3,2470.36,70
66,8,2139.15,46
71,4,1511.4899999999998,104
605,1,392.18999999999994,0
456,1,296.95,0
94,2,651.5799999999999,30
19,2,933.8600000000001,142
53,4,1245.38,47
10,8,691.5,37
17,2,689.44,76
682,1,7.5,0
423,1,132.8,0
188,5,3083.69,99
523,2,1425.19,7
690,1,198.25,0
2,79,30513.14,9
32,19,14940.07,36
29,5,2588.55,32
17,31,11400.34,20
54,2,1069.1699999999998,178
16,23,11972.849999999999,21
23,9,17658.71,66
4,1,562.09,0
11,1,486.35,0
28,7,4373.389999999999,68
23,15,9483.0,38
576,29,6938.31,2
17,19,3873.3999999999996,34
33,12,5372.0599999999995,54
529,1,692.9700000000001,0
432,1,883.1400000000001,0
731,1,108.0,0
10,3,1154.2100000000003,21
336,1,281.42999999999995,0
5,21,8689.02,34
39,1,405.80000000000007,0
63,3,640.8600000000001,113
166,2,385.32,15
16,9,1616.9799999999998,62
641,1,288.4,0
620,2,45.339999999999996,0
82,3,2017.5600000000002,187
21,3,372.2,12
560,1,356.05,0
23,19,3079.2,34
337,1,2040.63,0
96,5,2779.2699999999995,42
584,1,50.7,0
18,4,563.55,144
409,1,778.8,0
233,1,72.60000000000001,0
134,4,1060.84,112
26,2,397.88,1
284,1,162.0,0
143,9,3060.56,65
429,1,2894.7799999999997,0
66,2,131.73000000000002,0
113,1,565.0400000000001,0
267,2,1527.88,187
353,1,273.3,0
78,4,1951.9499999999998,130
28,5,2364.35,32
1,5,1915.0899999999997,21
64,2,653.0500000000001,206
79,5,2376.5600000000004,38
143,1,559.0300000000001,0
39,2,168.8,6
19,23,3960.4,30
9,17,6815.65,38
498,3,903.1800000000001,49
1,3,1209.46,31
82,5,656.51,89
9,6,1624.13,50
528,1,310.67999999999995,0
60,9,3007.0700000000006,64
15,2,1790.8,335
30,1,327.33000000000004,0
628,2,1250.8900000000003,55
131,1,986.23,0
92,2,697.85,47
43,3,4088.55,5
409,1,632.99,0
29,2,599.85,174
22,7,10178.5,99
20,33,18056.14,21
30,3,856.83,83
484,2,449.79,78
448,1,768.6399999999999,0
36,1,329.90000000000003,0
75,2,851.8299999999999,92
47,2,1040.3200000000002,15
198,3,322.0799999999999,100
166,1,74.69999999999999,0
576,6,1107.26,20
79,1,853.88,0
358,1,168.0,0
39,2,300.46999999999997,0
8,12,4133.59,34
449,1,400.1,0
